Method,Metric,mean,std,runs
PMFS,Error,0.9399999916666667,0.5299999920794704,600
PMFS,Time,96.40000001166668,22.09999998654268,600
GrGSL,Error,1.5199999983333334,0.8999999963843934,600
GrGSL,Time,96.099999995,26.499999990910744,600
Surge-Cast,Error,1.3300000066666666,0.739999992579926,600
Surge-Cast,Time,100.59999999666667,42.299999990188816,600
Spiral,Error,1.4900000016666666,0.8000000016037782,600
Spiral,Time,206.19999999833334,115.89999999485859,600
Surge-Spiral,Error,1.6500000066666667,0.9099999934541103,600
Surge-Spiral,Time,100.69999999,66.4999999858672,600
Particle Filter,Error,1.7500000016666668,0.7299999945474981,600
Particle Filter,Time,119.39999997999999,63.700000010094385,600
